fischer2 p33-6 ch7 4 steel brushed


Ch0:; 4431317; 5941718
Ch1:; 4421001; 5179930
Ch2:; 4405957; 5333223
Ch3:; 4405354; 4969212
Ch4:;     323;   62910
Ch5:;  254920; 3916370
Ch6:;  278977;  549411
Ch7:;  277365;  469193
Ch8:;  278048; 1045738
V:;    1474

Ch0:; 4431277; 5809161
Ch1:; 4429705; 5139230
Ch2:; 4408121; 5281388
Ch3:; 4404916; 4941290
Ch4:;     816;   56943
Ch5:;  251065; 3813157
Ch6:;  283003;  549628
Ch7:;  282556;  452779
Ch8:;  282166; 1028079
V:;    1389

Ch0:; 4440170; 5820599
Ch1:; 4420824; 5124045
Ch2:; 4408243; 5282047
Ch3:; 4515633; 5010835
Ch4:;     130;   54314
Ch5:;  251933; 4063224
Ch6:;  279402;  550291
Ch7:;  278836;  443467
Ch8:;  278294; 1030809
V:;    1735

Ch0:; 4437292; 5726028
Ch1:; 4438675; 5111234
Ch2:; 4409796; 5287400
Ch3:; 4401470; 4943053
Ch4:;     106;   58781
Ch5:;  253729; 4254238
Ch6:;  285311;  549933
Ch7:;  284364;  447301
Ch8:;  285867; 1020788
V:;    1078

Ch0:; 4439212; 5799778
Ch1:; 4427247; 5128146
Ch2:; 4408404; 5268056
Ch3:; 4398431; 4918425
Ch4:;    1134;   53072
Ch5:;  253321; 4270991
Ch6:;  279963;  552157
Ch7:;  278072;  448776
Ch8:;  278549; 1048079
V:;    1481
Ch0:; 4437712; 5784165
Ch1:; 4431090; 5137632
Ch2:; 4409148; 5275697
Ch3:; 4406875; 4938131
Ch4:;     223;   55129
Ch5:;  254790; 4585360
Ch6:;  281975;  536057
Ch7:;  280738;  451150
Ch8:;  281119; 1007535
V:;    1416
Ch0:; 4436451; 5866744
Ch1:; 4437081; 5175455
Ch2:; 4408596; 5300514
Ch3:; 4407079; 4917949
Ch4:;      55;   55993
Ch5:;  255246; 4872049
Ch6:;  279656;  548328
Ch7:;  279049;  460752
Ch8:;  278298; 1036172
V:;    1821
Ch0:; 4439222; 5748592
Ch1:; 4434094; 5116268
Ch2:; 4411386; 5252258
Ch3:; 4407565; 4927672
Ch4:;     230;   55540
Ch5:;  256602; 4799672
Ch6:;  280491;  546441
Ch7:;  279976;  438892
Ch8:;  279796; 1006829
V:;    1347
Ch0:; 4437244; 5804852
Ch1:; 4433863; 5134071
Ch2:; 4409428; 5264328
Ch3:; 4412657; 4925521
Ch4:;     137;   56159
Ch5:;  256428; 5313856
Ch6:;  279506;  548599
Ch7:;  278833;  444359
Ch8:;  278610; 1019565
V:;    1544
Ch0:; 4439761; 5836786
Ch1:; 4439186; 5153894
Ch2:; 4411323; 5304519
Ch3:; 4409482; 4953269
Ch4:;     167;   60286
Ch5:;  256569; 5524876
Ch6:;  279329;  540696
Ch7:;  278112;  453830
Ch8:;  278378; 1012330
V:;    1358
