fischer bb2 TS blue ch8
Ch0:; 4379735; 5991237
Ch1:; 4383767; 5253674
Ch2:; 4354017; 5368952
Ch3:; 4342098; 5032384
Ch4:;      84;   63212
Ch5:;  250763; 3260275
Ch6:;  278312;  559005
Ch7:;  277883;  472262
Ch8:;  278554; 1077288
V:;    1151

Ch0:; 4435569; 5929643
Ch1:; 4435873; 5207492
Ch2:; 4406848; 5349022
Ch3:; 4405107; 4999048
Ch4:;       4;   60515
Ch5:;  251217; 3612504
Ch6:;  286209;  565546
Ch7:;  284267;  464735
Ch8:;  284709; 1083370
V:;    1301

Ch0:; 4439689; 5878816
Ch1:; 4434384; 5177647
Ch2:; 4408803; 5323282
Ch3:; 4413204; 4974833
Ch4:;     597;   61214
Ch5:;  251862; 4031306
Ch6:;  279911;  570060
Ch7:;  278398;  449358
Ch8:;  278432; 1079382
V:;    1391

Ch0:; 4435562; 5868727
Ch1:; 4428181; 5192023
Ch2:; 4410264; 5279446
Ch3:; 4406301; 4954007
Ch4:;     536;   55166
Ch5:;  252917; 4223782
Ch6:;  281536;  574113
Ch7:;  280011;  452523
Ch8:;  280876; 1093383
V:;    1647

Ch0:; 4437378; 5884975
Ch1:; 4431560; 5217630
Ch2:; 4408348; 5328321
Ch3:; 4407479; 5003216
Ch4:;     173;   60682
Ch5:;  253711; 4479643
Ch6:;  279727;  563305
Ch7:;  278940;  454841
Ch8:;  278402; 1073757
V:;    1377
Ch0:; 4436564; 5865222
Ch1:; 4435762; 5186412
Ch2:; 4407133; 5333002
Ch3:; 4405594; 4979353
Ch4:;     236;   59291
Ch5:;  253916; 4570292
Ch6:;  283149;  569126
Ch7:;  282380;  459463
Ch8:;  281778; 1073796
V:;    1335
Ch0:; 4437467; 5870616
Ch1:; 4436198; 5197013
Ch2:; 4401853; 5337475
Ch3:; 4416085; 4990192
Ch4:;     170;   60406
Ch5:;  254365; 4976666
Ch6:;  279538;  564332
Ch7:;  278579;  461508
Ch8:;  278189; 1094703
V:;    1398
Ch0:; 4435220; 5886243
Ch1:; 4432607; 5211469
Ch2:; 4410616; 5351664
Ch3:; 4406472; 4992696
Ch4:;     131;   58515
Ch5:;  255631; 5049458
Ch6:;  280754;  544539
Ch7:;  279451;  454054
Ch8:;  279966; 1023847
V:;    1411
Ch0:; 4435574; 5881104
Ch1:; 4433374; 5177147
Ch2:; 4405324; 5321644
Ch3:; 4402345; 4979766
Ch4:;      85;   60401
Ch5:;  254737; 5249394
Ch6:;  279581;  555215
Ch7:;  279012;  455199
Ch8:;  278802; 1058703
V:;    1259
Ch0:; 4443702; 5903935
Ch1:; 4438774; 5175156
Ch2:; 4410974; 5371111
Ch3:; 4411308; 5014621
Ch4:;      91;   61432
Ch5:;  256629; 5420145
Ch6:;  279340;  541220
Ch7:;  278277;  459360
Ch8:;  278442; 1030206
V:;     993
