fischer bb2 TS blue remeasure


Ch0:; 4433691; 5968900
Ch1:; 4431304; 5299685
Ch2:; 4405995; 5478823
Ch3:; 4404437; 5107281
Ch4:;      39;   56651
Ch5:;  253280; 2625525
Ch6:;  279346;  537116
Ch7:;  278433;  437163
Ch8:;  278654;  981303
V:;    1053

Ch0:; 4439281; 5936343
Ch1:; 4435696; 5274976
Ch2:; 4406984; 5466066
Ch3:; 4407117; 5125928
Ch4:;     146;   55248
Ch5:;  253952; 2700437
Ch6:;  283941;  553858
Ch7:;  282728;  438170
Ch8:;  283195; 1005951
V:;     773

Ch0:; 4435959; 5944082
Ch1:; 4431006; 5258276
Ch2:; 4406704; 5481717
Ch3:; 4397755; 5110857
Ch4:;     105;   55960
Ch5:;  253121; 2908768
Ch6:;  279744;  549505
Ch7:;  278505;  439993
Ch8:;  278753; 1019580
V:;     741

Ch0:; 4438924; 5900244
Ch1:; 4435926; 5252882
Ch2:; 4407589; 5454053
Ch3:; 4405694; 5103730
Ch4:;      54;   53788
Ch5:;  254695; 3086337
Ch6:;  282942;  546644
Ch7:;  281853;  439532
Ch8:;  282754; 1003329
V:;     784
Ch0:; 4436950; 5998592
Ch1:; 4437884; 5278442
Ch2:; 4412676; 5491333
Ch3:; 4416137; 5106690
Ch4:;     680;   58191
Ch5:;  254291; 3315050
Ch6:;  279265;  550137
Ch7:;  277993;  446747
Ch8:;  278739; 1018353
V:;     979
Ch0:; 4438719; 5976989
Ch1:; 4434612; 5307314
Ch2:; 4410420; 5467563
Ch3:; 4411683; 5116280
Ch4:;      63;   53145
Ch5:;  255589; 3245090
Ch6:;  281074;  540164
Ch7:;  280548;  440198
Ch8:;  280875;  984179
V:;    1065
Ch0:; 4437095; 5937576
Ch1:; 4436061; 5290858
Ch2:; 4410425; 5448095
Ch3:; 4408019; 5125010
Ch4:;     977;   54727
Ch5:;  254948; 3395842
Ch6:;  279121;  540849
Ch7:;  278720;  435042
Ch8:;  278538;  988064
V:;     876
Ch0:; 4439416; 5957506
Ch1:; 4437283; 5311016
Ch2:; 4413952; 5461871
Ch3:; 4409442; 5096689
Ch4:;     265;   53708
Ch5:;  255294; 3567691
Ch6:;  281130;  541757
Ch7:;  279830;  436964
Ch8:;  280670;  983036
V:;    1194
Ch0:; 4438260; 5952248
Ch1:; 4434968; 5294384
Ch2:; 4407193; 5448738
Ch3:; 4413110; 5107985
Ch4:;     354;   53474
Ch5:;  255994; 3595916
Ch6:;  279775;  536595
Ch7:;  278724;  434772
Ch8:;  278658;  980126
V:;    1058
Ch0:; 4444096; 5940762
Ch1:; 4431372; 5270140
Ch2:; 4409703; 5439308
Ch3:; 4406232; 5099708
Ch4:;     200;   55290
Ch5:;  256911; 3805245
Ch6:;  278570;  534982
Ch7:;  278506;  437470
Ch8:;  278462;  966801
V:;     948
