fischer bb2 TS blue 12km
Ch0:; 4435281; 6057907
Ch1:; 4437385; 5247188
Ch2:; 4411056; 5426918
Ch3:; 4405358; 4999632
Ch4:;      39;   67761
Ch5:;  250410; 3621327
Ch6:;  279179;  558157
Ch7:;  278263;  507910
Ch8:;  278367; 1116735
V:;    1535

Ch0:; 4437999; 6138964
Ch1:; 4432712; 5252899
Ch2:; 4406842; 5406601
Ch3:; 4406789; 5030450
Ch4:;      43;   67363
Ch5:;  251346; 4015488
Ch6:;  283973;  582284
Ch7:;  282722;  521734
Ch8:;  283473; 1173884
V:;    1361

Ch0:; 4434649; 5978460
Ch1:; 4433630; 5228230
Ch2:; 4408115; 5336641
Ch3:; 4408720; 4976537
Ch4:;     240;   64187
Ch5:;  251205; 4312504
Ch6:;  279774;  565712
Ch7:;  278089;  491364
Ch8:;  278210; 1136040
V:;    1664

Ch0:; 4440458; 6059801
Ch1:; 4434964; 5236541
Ch2:; 4409883; 5377149
Ch3:; 4400398; 4944283
Ch4:;      47;   69244
Ch5:;  251878; 4698262
Ch6:;  282286;  576525
Ch7:;  281036;  509451
Ch8:;  281841; 1161265
V:;    1915

Ch0:; 4431650; 6109079
Ch1:; 4432686; 5255416
Ch2:; 4410378; 5387631
Ch3:; 4412917; 5021325
Ch4:;     397;   65171
Ch5:;  252479; 4810896
Ch6:;  279532;  584918
Ch7:;  278443;  496499
Ch8:;  278381; 1153704
V:;    1497
Ch0:; 4439586; 6024996
Ch1:; 4433786; 5234326
Ch2:; 4406303; 5400590
Ch3:; 4407276; 4980534
Ch4:;     195;   63850
Ch5:;  253747; 4844339
Ch6:;  280891;  563278
Ch7:;  279948;  502877
Ch8:;  279656; 1115795
V:;    1654
Ch0:; 4437655; 6002532
Ch1:; 4430381; 5203876
Ch2:; 4412846; 5395306
Ch3:; 4407313; 4969164
Ch4:;      83;   66442
Ch5:;  253628; 5294943
Ch6:;  279458;  554122
Ch7:;  278469;  513182
Ch8:;  278937; 1134711
V:;    1584
Ch0:; 4438251; 6111576
Ch1:; 4435601; 5233494
Ch2:; 4408457; 5410464
Ch3:; 4408027; 5026502
Ch4:;      65;   66282
Ch5:;  254424; 5720996
Ch6:;  281023;  572316
Ch7:;  279972;  508134
Ch8:;  280021; 1138361
V:;    1266
Ch0:; 4435528; 6029418
Ch1:; 4425969; 5241883
Ch2:; 4409197; 5384371
Ch3:; 4396313; 5001223
Ch4:;     124;   62258
Ch5:;  254483; 5276862
Ch6:;  279803;  552817
Ch7:;  278682;  491253
Ch8:;  278743; 1085144
V:;    1485
Ch0:; 4435092; 5975365
Ch1:; 4438482; 5225510
Ch2:; 4410535; 5348926
Ch3:; 4408026; 5006565
Ch4:;      62;   64669
Ch5:;  256499; 5638826
Ch6:;  278995;  553274
Ch7:;  278465;  489350
Ch8:;  278146; 1103184
V:;    1360
